Hashed time	Hashed space	Hashed res	No Hashed time	No Hashed space	No Hasehd res
0.0203571	66480	0.987325	0.0283793	66480	0.987325
0.0228051	102232	0.985859	0.0321169	133350	0.985853
0.0228964	102232	0.985859	0.0343632	197754	0.984048
0.0230423	102232	0.985859	0.0355809	253617	0.981894
0.0230807	102232	0.985859	0.0365506	304800	0.980044
0.0232152	102224	0.985857	0.0371041	354204	0.978583
0.0233415	102216	0.985856	0.0370998	402270	0.977243

0.0214045	77472	0.627837	0.0295529	77472	0.627837
0.0237921	114252	0.587539	0.0338	148065	0.584515
0.0239872	114252	0.587539	0.035976	213138	0.542399
0.0240614	114252	0.587539	0.0371314	269136	0.504637
0.0242364	114252	0.587539	0.0379136	320544	0.475149
0.0243675	114244	0.587516	0.0385775	370305	0.448105
0.0244671	114236	0.587493	0.0388978	418880	0.422826

0.0219253	85152	0.463797	0.0304031	85152	0.463797
0.0244301	122144	0.399258	0.0344229	157615	0.3947
0.024611	122144	0.399258	0.0369084	222186	0.340974
0.0247123	122140	0.399212	0.0385087	277277	0.298083
0.0250556	122140	0.399212	0.0390454	327864	0.267176
0.0249657	122132	0.399184	0.0392935	376848	0.240762
0.0252231	122124	0.399157	0.0398242	424740	0.21709

0.0224228	90712	0.368701	0.0310303	90712	0.368701
0.0249759	127432	0.294725	0.0351986	163940	0.287066
0.0249987	127432	0.294725	0.0374244	226812	0.228614
0.0252652	127428	0.294684	0.0384139	281015	0.189658
0.0253705	127424	0.294644	0.0391845	331152	0.162851
0.0254467	127416	0.294615	0.0396578	379881	0.141462
0.0255704	127408	0.294586	0.0399997	427520	0.123043

0.0227106	95492	0.315099	0.0315338	95492	0.315099
0.0251642	130924	0.232249	0.0356329	168265	0.225573
0.0253395	130920	0.232211	0.0379139	230046	0.167687
0.0254512	130916	0.232174	0.0387413	283255	0.132363
0.0257382	130912	0.232136	0.0397298	332904	0.109088
0.0262198	130904	0.232107	0.0401963	381087	0.0906679
0.0260563	130896	0.232078	0.0404318	428270	0.075758

0.00286976	15312	0.809929	0.00377913	15340	0.809816
0.00301397	18288	0.785937	0.00406727	23355	0.7876
0.00300004	18280	0.785854	0.00424619	31206	0.777512
0.00302165	18272	0.78577	0.00437789	38710	0.7696
0.0030518	18264	0.785686	0.00445241	45984	0.764273
0.00307655	18256	0.785603	0.0045312	53127	0.760513
0.00307797	18248	0.785519	0.00458667	60110	0.757602

