TRESHOLD	B	R	FALSOS_POSITIVOS	FALSOS_NEGATVOS	SIMILTUD_SETS	TIEMPO	ESPACIO
0.5	50	5	42	0	0.192308	0.00154528	4616
0.51	50	5	48	2	0.107143	0.00136626	4632
0.52	50	5	46	0	0.148148	0.00150261	4632
0.53	50	5	55	0	0.126984	0.00126454	4704
0.54	50	5	57	0	0.123077	0.00123671	4720
0.55	50	5	43	0	0.156863	0.00139749	4608
0.56	50	5	61	2	0.0869565	0.00121569	4736
0.57	50	5	49	0	0.140351	0.00124785	4656
0.58	50	5	45	0	0.134615	0.00211014	4616
0.59	50	5	52	0	0.0877193	0.00151034	4656
0.6	25	10	24	0	0.172414	0.000703691	2332
0.61	25	10	19	2	0.125	0.000695961	2276
0.62	25	10	22	2	0.111111	0.000690706	2300
0.63	25	10	23	2	0.107143	0.000689159	2308
0.64	25	10	39	0	0.113636	0.00071884	2452
0.65	25	10	17	0	0.227273	0.000738937	2276
0.66	25	10	23	2	0.107143	0.000704309	2308
0.67	25	10	31	2	0.0833333	0.000684213	2372
0.68	25	10	20	1	0.125	0.000678957	2284
0.69	25	10	28	0	0.0967742	0.000678647	2348
0.7	25	10	21	0	0.125	0.00100514	2292
0.71	25	10	29	0	0.09375	0.000672772	2356
0.72	25	10	32	0	0.0857143	0.00068174	2380
0.73	25	10	24	0	0.111111	0.000829526	2316
0.74	25	10	24	0	0.111111	0.000657933	2316
0.75	25	10	27	0	0.1	0.000685758	2340
0.76	25	10	33	0	0.0833333	0.000721005	2388
0.77	25	10	24	0	0.111111	0.000679574	2316
0.78	25	10	27	0	0.1	0.000672463	2340
0.79	25	10	28	0	0.0967742	0.000835092	2348
0.8	25	10	26	0	0.103448	0.000674628	2332
0.81	25	10	25	0	0.0740741	0.000765527	2316
0.82	10	25	4	1	0.166667	0.000385855	880
0.83	10	25	4	0	0.2	0.000404405	880
0.84	10	25	7	0	0.125	0.000411517	904
0.85	10	25	5	0	0.166667	0.000445526	888
0.86	10	25	10	0	0.0909091	0.000448618	928
0.87	10	25	9	0	0.1	0.000418628	920
0.88	10	25	9	0	0.1	0.000400387	920
0.89	10	25	10	0	0.0909091	0.00040688	928
0.9	10	25	7	0	0.125	0.000390492	904
0.91	10	25	7	0	0.125	0.000378435	904
0.92	10	25	7	0	0.125	0.000371633	904
0.93	10	25	9	0	0.1	0.000392657	920
0.94	10	25	12	0	0.0769231	0.000451092	944
0.95	5	50	4	0	0.2	0.000279498	460
0.96	5	50	7	0	0.125	0.00029372	484
0.97	5	50	2	0	0.333333	0.000300522	444
0.98	5	50	5	0	0	0.000293719	460
0.99	2	125	0	0	nan	0.000216426	168
