MOD	FALSOS_POSITIVOS	FALSOS_NEGATVOS	SIMILITUD_SETS	TIEMPO	ESPACIO
13	172	0	0.0282486	0.000491904	3516
17	153	0	0.0316456	0.000433469	3364
19	152	0	0.0318471	0.000435942	3356
23	132	0	0.0364964	0.000448	3196
29	126	0	0.0381679	0.000412136	3148
31	124	0	0.0387597	0.000465314	3132
37	107	0	0.0446429	0.000466551	2996
41	82	0	0.0574713	0.000386783	2796
43	77	0	0.0609756	0.000409971	2756
47	82	0	0.0574713	0.000406261	2796
53	79	0	0.0595238	0.00044058	2772
59	68	0	0.0684932	0.000626705	2684
61	77	0	0.0609756	0.000478609	2756
67	67	0	0.0694444	0.000637526	2676
71	67	0	0.0694444	0.00047057	2676
73	50	0	0.0909091	0.000488502	2540
79	65	0	0.0714286	0.000622377	2660
83	56	0	0.0819672	0.000539208	2588
89	53	0	0.0862069	0.000503962	2564
97	42	0	0.106383	0.000518802	2476
101	35	0	0.125	0.000507053	2420
103	33	0	0.131579	0.000509526	2404
107	55	0	0.0833333	0.000527768	2580
109	41	0	0.108696	0.00050087	2468
113	32	0	0.135135	0.00049685	2396
127	21	0	0.192308	0.000576619	2308
131	40	0	0.111111	0.000611556	2460
137	29	0	0.147059	0.000713276	2372
139	36	0	0.121951	0.000591459	2428
149	37	0	0.119048	0.000645256	2436
151	34	0	0.128205	0.000605991	2412
157	41	0	0.108696	0.000594551	2468
163	31	0	0.138889	0.000593933	2388
167	27	0	0.15625	0.000603517	2356
173	27	0	0.15625	0.000607536	2356
179	34	0	0.128205	0.00061743	2412
181	26	0	0.16129	0.00097144	2348
191	27	0	0.15625	0.000738318	2356
193	25	0	0.166667	0.00068885	2340
197	23	0	0.178571	0.000666589	2324
199	17	0	0.227273	0.000671845	2276
211	21	0	0.192308	0.000759961	2308
223	20	0	0.2	0.000803246	2300
227	17	0	0.227273	0.00081283	2276
229	19	0	0.208333	0.000842203	2292
233	21	0	0.192308	0.00146056	2308
239	18	0	0.217391	0.000800464	2284
241	24	0	0.172414	0.00128309	2332
251	27	0	0.15625	0.00148993	2356
257	18	0	0.217391	0.000797063	2284
263	22	0	0.185185	0.000864773	2316
269	19	0	0.208333	0.000893217	2292
271	17	0	0.227273	0.000957527	2276
277	8	0	0.384615	0.000892599	2204
281	25	0	0.166667	0.000900947	2340
283	18	0	0.217391	0.000882705	2284
293	14	0	0.263158	0.000841584	2252
307	11	0	0.3125	0.000908368	2228
311	22	0	0.185185	0.00119714	2316
313	20	0	0.2	0.000945159	2300
317	21	0	0.192308	0.00106729	2308
331	11	0	0.3125	0.00102462	2228
337	13	0	0.277778	0.00112417	2244
347	15	0	0.25	0.000969585	2260
349	16	0	0.238095	0.00106048	2268
353	14	0	0.263158	0.00102091	2252
359	18	0	0.217391	0.00111861	2284
367	19	0	0.208333	0.00117364	2292
373	16	0	0.238095	0.00855034	2268
379	10	0	0.333333	0.0015091	2220
383	14	0	0.263158	0.00102678	2252
389	11	0	0.3125	0.00108336	2228
397	7	0	0.416667	0.00104286	2196
401	12	0	0.294118	0.0010509	2236
409	8	0	0.384615	0.00103791	2204
419	17	0	0.227273	0.00106296	2276
421	13	0	0.277778	0.00106234	2244
431	14	0	0.263158	0.00111119	2252
433	11	0	0.3125	0.00108645	2228
439	12	0	0.294118	0.00108924	2236
443	8	0	0.384615	0.00109295	2204
449	9	0	0.357143	0.00112603	2212
457	13	0	0.277778	0.0011554	2244
461	11	0	0.3125	0.00113221	2228
463	4	0	0.555556	0.00123641	2172
467	11	0	0.3125	0.00133967	2228
479	16	0	0.238095	0.00139532	2268
487	9	0	0.357143	0.00141851	2212
491	12	0	0.294118	0.00163556	2236
499	7	0	0.416667	0.00145963	2196
503	6	0	0.454545	0.0012293	2188
509	12	0	0.294118	0.00122033	2236
521	13	0	0.277778	0.00129886	2244
523	4	0	0.555556	0.00126609	2172
541	8	0	0.384615	0.00128464	2204
547	8	0	0.384615	0.00130164	2204
557	15	0	0.25	0.00130535	2260
563	12	0	0.294118	0.00132298	2236
569	7	0	0.416667	0.00132669	2196
571	10	0	0.333333	0.00133534	2220
