MOD	FALSOS_POSITIVOS	FALSOS_NEGATVOS	PORCENTAJE_ACERTADAS	TIEMPO
13	116	0	1	0.000193855
17	104	0	1	0.000161701
19	82	0	1	0.000203749
23	92	0	1	0.000161083
29	81	0	1	0.000137585
31	59	0	1	0.000131091
37	41	0	1	0.000139439
41	45	0	1	0.000132019
43	35	0	1	0.000127691
47	61	0	1	0.000169121
53	57	0	1	0.000147169
59	39	0	1	0.00018829
61	35	0	1	0.000135112
67	41	0	1	0.000139131
71	31	0	1	0.000197256
73	27	0	1	0.000226009
79	36	0	1	0.000227865
83	36	0	1	0.000282589
89	40	0	1	0.000237141
97	34	0	1	0.000161082
101	34	0	1	0.000193237
103	31	0	1	0.000162937
107	27	0	1	0.000166029
109	24	0	1	0.00021828
113	21	0	1	0.000165101
127	20	0	1	0.000205604
131	19	0	1	0.000180251
137	21	0	1	0.00018458
139	22	0	1	0.000212715
149	25	0	1	0.000195401
151	21	0	1	0.00024858
157	19	0	1	0.000199421
163	23	0	1	0.000205604
167	24	0	1	0.000209932
173	19	0	1	0.000281971
179	23	0	1	0.000222918
181	25	0	1	0.000238068
191	24	0	1	0.000232503
193	14	0	1	0.000227865
197	18	0	1	0.00023343
199	23	0	1	0.000247962
211	14	0	1	0.000242705
223	18	0	1	0.000254764
227	16	0	1	0.000257546
229	19	0	1	0.000259401
233	21	0	1	0.000303304
239	15	0	1	0.000275788
241	18	0	1	0.000286299
251	21	0	1	0.00027486
257	16	0	1	0.00031629
263	19	0	1	0.000292174
269	17	0	1	0.000302995
271	14	0	1	0.00030114
277	17	0	1	0.000302995
281	16	0	1	0.000305778
283	16	0	1	0.000310416
293	16	0	1	0.000312271
307	16	0	1	0.000324947
311	21	0	1	0.000363285
313	14	0	1	0.000384
317	17	0	1	0.000446763
331	14	0	1	0.000345353
337	16	0	1	0.000458821
347	12	0	1	0.00038771
349	16	0	1	0.000360502
353	19	0	1	0.000361739
359	17	0	1	0.000399149
367	20	0	1	0.000367614
373	16	0	1	0.000446145
379	18	0	1	0.000371324
383	17	0	1	0.000476136
389	15	0	1	0.000418628
397	15	0	1	0.00051942
401	21	0	1	0.000414918
409	14	0	1	0.000392348
419	15	0	1	0.000396676
421	18	0	1	0.000432232
431	20	0	1	0.000413372
433	14	0	1	0.000469643
439	15	0	1	0.000413681
443	12	0	1	0.000445526
449	14	0	1	0.000422648
457	17	0	1	0.000429759
461	12	0	1	0.000469024
463	20	0	1	0.00056827
467	13	0	1	0.0005423
479	14	0	1	0.000598879
487	13	0	1	0.000550338
491	17	0	1	0.000553121
499	16	0	1	0.000529932
503	13	0	1	0.000533642
509	13	0	1	0.000619594
521	14	0	1	0.000536734
523	15	0	1	0.000618049
541	14	0	1	0.000614029
547	15	0	1	0.00054941
557	14	0	1	0.000632889
563	12	0	1	0.000613411
569	14	0	1	0.000615884
571	13	0	1	0.000585276
