TRESHOLD	B	R	FALSOS_POSITIVOS	FALSOS_NEGATVOS	SIMILTUD_SETS	TIEMPO	ESPACIO
0.5	50	5	45	0	0.181818	0.00160742	4640
0.51	50	5	61	0	0.115942	0.00112015	4752
0.52	50	5	56	0	0.125	0.0014519	4712
0.53	50	5	52	0	0.133333	0.00114984	4680
0.54	50	5	59	0	0.119403	0.00121631	4736
0.55	50	5	54	0	0.129032	0.0010475	4696
0.56	50	5	63	0	0.112676	0.00104008	4768
0.57	50	5	51	0	0.135593	0.0012967	4672
0.58	50	5	55	0	0.112903	0.00117086	4696
0.59	50	5	54	0	0.0847458	0.00102957	4672
0.6	25	10	24	0	0.172414	0.000641237	2332
0.61	25	10	35	2	0.075	0.000728735	2404
0.62	25	10	19	2	0.125	0.000579401	2276
0.63	25	10	22	0	0.185185	0.000615575	2316
0.64	25	10	37	0	0.119048	0.000604136	2436
0.65	25	10	23	2	0.107143	0.000604754	2308
0.66	25	10	19	0	0.208333	0.000665044	2292
0.67	25	10	26	0	0.16129	0.000581875	2348
0.68	25	10	28	1	0.09375	0.000628251	2348
0.69	25	10	21	0	0.125	0.000631034	2292
0.7	25	10	32	0	0.0857143	0.000598879	2380
0.71	25	10	18	0	0.142857	0.000579092	2268
0.72	25	10	41	0	0.0681818	0.000603826	2452
0.73	25	10	20	0	0.130435	0.000623304	2284
0.74	25	10	29	0	0.09375	0.000614957	2356
0.75	25	10	30	0	0.0909091	0.000991845	2364
0.76	25	10	37	0	0.075	0.000647421	2420
0.77	25	10	28	0	0.0967742	0.000618976	2348
0.78	25	10	21	0	0.125	0.000602899	2292
0.79	25	10	23	0	0.115385	0.000691015	2308
0.8	25	10	25	0	0.107143	0.000580329	2324
0.81	25	10	37	0	0.0512821	0.000594242	2412
0.82	10	25	15	1	0.0588235	0.000440579	968
0.83	10	25	14	0	0.0666667	0.000406879	960
0.84	10	25	16	0	0.0588235	0.000373487	976
0.85	10	25	8	0	0.111111	0.000408425	912
0.86	10	25	13	0	0.0714286	0.000344426	952
0.87	10	25	16	0	0.0588235	0.000362357	976
0.88	10	25	12	0	0.0769231	0.000337623	944
0.89	10	25	13	0	0.0714286	0.00036143	952
0.9	10	25	2	0	0.333333	0.000354319	864
0.91	10	25	11	0	0.0833333	0.000340715	936
0.92	10	25	14	0	0.0666667	0.000342879	960
0.93	10	25	14	0	0.0666667	0.000344116	960
0.94	10	25	6	0	0.142857	0.000329584	896
0.95	5	50	5	0	0.166667	0.000283517	468
0.96	5	50	8	0	0.111111	0.000307633	492
0.97	5	50	3	0	0.25	0.000291865	452
0.98	5	50	10	0	0	0.000255691	500
0.99	2	125	4	0	0	0.000231884	200
